,Bin 1,Bin 2,Bin 3,Bin 4
Mouse 1,0.4533333333333333,0.5133333333333333,0.47333333333333333,0.44666666666666666
Mouse 2,0.43333333333333335,0.13333333333333333,0.15333333333333332,0.47333333333333333
Mouse 3,0.47333333333333333,0.54,0.36,0.4
Mouse 4,0.52,0.74,0.31333333333333335,0.28
Mouse 5,0.31333333333333335,0.44666666666666666,0.5733333333333334,0.5133333333333333
Mouse 6,0.5533333333333333,0.32,0.2733333333333333,0.4
Mouse 7,0.5133333333333333,0.4866666666666667,0.38666666666666666,0.37333333333333335
