,Bin 1,Bin 2,Bin 3,Bin 4
Mouse 1,0.0,0.14666666666666667,0.29333333333333333,0.04
Mouse 2,0.0,0.0,0.0,0.0
Mouse 3,0.16666666666666666,0.29333333333333333,0.9866666666666667,0.18666666666666668
Mouse 4,0.0,0.7133333333333334,0.3333333333333333,0.31333333333333335
Mouse 5,0.35333333333333333,0.32666666666666666,0.15333333333333332,0.16666666666666666
Mouse 6,0.0,0.06,0.0,0.0
Mouse 7,0.12,0.9866666666666667,0.9066666666666666,0.12666666666666668
